simp,trad
补,補
装,裝
裤,褲
衬,襯
袭,襲
见,見
规,規
觅,覓
视,視
亲,親
觉,覺
览,覽
观,觀
触,觸
订,訂
计,計
讯,訊
讨,討
训,訓
记,記
讶,訝
讼,訟
访,訪
设,設
许,許
诉,訴
诊,診
诈,詐
评,評
词,詞
询,詢
试,試
诗,詩
话,話
该,該
详,詳
夸,誇
认,認
诞,誕
诱,誘
语,語
诚,誠
误,誤
诵,誦
说,說
谁,誰
课,課
谊,誼
调,調
谈,談
请,請
谅,諒
论,論
谐,諧
讳,諱
讽,諷
诸,諸
诺,諾
谋,謀
谓,謂
谎,謊
谜,謎
谦,謙
讲,講
谢,謝
谣,謠
谬,謬
谨,謹
证,証
讥,譏
识,識
谭,譚
谱,譜
译,譯
议,議
谴,譴
护,護
誉,譽
读,讀
变,變
让,讓
岂,豈
竖,豎
猪,豬
猫,貓
贝,貝
贞,貞
负,負
财,財
贡,貢
贫,貧
货,貨
贩,販
贪,貪
贯,貫
责,責
贵,貴
买,買
贷,貸
费,費
贴,貼
贸,貿
贺,賀
贿,賄
资,資
贾,賈
贼,賊
宾,賓
赐,賜
赏,賞
赔,賠
贤,賢
卖,賣
贱,賤
赋,賦
质,質
账,賬
赌,賭
赖,賴
赚,賺
购,購
赛,賽
赠,贈
赞,贊
赢,贏
赶,趕
赵,趙
趋,趨
迹,跡
践,踐
踪,蹤
跃,躍
躯,軀
车,車
轨,軌
军,軍
软,軟
轴,軸
较,較
载,載
辅,輔
轻,輕
辆,輛
辉,輝
辈,輩
轮,輪
辑,輯
输,輸
舆,輿
转,轉
轿,轎
轰,轟
办,辦
辞,辭
辫,辮
辩,辯
农,農
这,這
连,連
进,進
运,運
过,過
达,達
违,違
遥,遙
逊,遜
递,遞
远,遠
适,適
迟,遲
迁,遷
选,選
遗,遺
辽,遼
迈,邁
还,還
边,邊
逻,邏
邮,郵
乡,鄉
邓,鄧
郑,鄭
邻,鄰
医,醫
酱,醬
酿,釀
释,釋
钉,釘
针,針
钓,釣
铃,鈴
铅,鉛
钩,鉤
银,銀
铜,銅
铭,銘
衔,銜
锐,銳
销,銷
锋,鋒
铺,鋪
钢,鋼
录,錄
锤,錘
钱,錢
锦,錦
锡,錫
错,錯
锅,鍋
锻,鍛
键,鍵
锁,鎖
镇,鎮
链,鏈
镜,鏡
镖,鏢
铁,鐵
铸,鑄
鉴,鑒
镶,鑲
锣,鑼
钻,鑽
长,長
门,門
闪,閃
闭,閉
开,開
闲,閑
间,間
阁,閣
阅,閱
阔,闊
闯,闖
关,關
阐,闡
陕,陝
阵,陣
阴,陰
陈,陳
陆,陸
阳,陽
队,隊
阶,階
际,際
随,隨
险,險
隐,隱
隶,隸
虽,雖
双,雙
杂,雜
鸡,雞
离,離
难,難
电,電
雾,霧
灵,靈
静,靜
巩,鞏
韦,韋
韩,韓
韵,韻
响,響
页,頁
顶,頂
项,項
顺,順
颂,頌
预,預
顽,頑
颁,頒
顿,頓
颇,頗
领,領
头,頭
颊,頰
颈,頸
频,頻
颗,顆
题,題
额,額
颜,顏
愿,願
颠,顛
类,類
顾,顧
颤,顫
显,顯
风,風
飘,飄
飞,飛
饥,飢
饭,飯
饮,飲
饱,飽
饰,飾
饼,餅
养,養
饿,餓
馆,館
饶,饒
马,馬
冯,馮
驰,馳
驳,駁
驻,駐
驾,駕
驶,駛
骆,駱
骑,騎
骗,騙
腾,騰
骚,騷
驱,驅
骄,驕
验,驗
惊,驚
骤,驟
体,體
闹,鬧
鱼,魚
鲁,魯
鲍,鮑
鲜,鮮
鸟,鳥
凤,鳳
鸣,鳴
鸦,鴉
鸭,鴨
鸿,鴻
鹅,鵝
鹏,鵬
鹤,鶴
鹰,鷹
盐,鹽
丽,麗
麦,麥
黄,黃
点,點
党,黨
齐,齊
斋,齋
齿,齒
龄,齡
龙,龍
庞,龐
龟,龜
後,后
