// 圣经新译本 5000 most frequently used words
玛拿西		173
快		172
死亡		172
记念		171
肯		171
还是		171
吉		171
得着		170
革		170
内		170
道路		170
色		170
必定		169
服事		169
怜悯		169
奉		169
眼睛		168
居住		168
个儿		168
发		168
先		168
以利亚		168
造		167
安息日		167
设		167
买		167
但是		167
灾祸		167
灭亡		167
诗		167
别		166
上去		166
亚撒		166
三十		165
作为		165
山羊		165
以撒		165
实在		165
若是		165
以东		165
后来		164
以前		164
必须		163
敬拜		163
营		163
房屋		163
全体		163
教导		163
上面		162
可是		162
头上		162
共有		161
最		161
性命		161
诗篇		161
名字		160
娶		160
攻打		160
赐		160
篇		160
女人		159
真		159
丈夫		159
怎能		159
巴力		159
惩罚		158
进去		158
件		157
抹		157
烈怒		157
处		156
尽		156
常		156
诫命		156
希西家		156
特		155
个人		155
东西		155
称颂		154
应该		154
官		154
倚靠		154
充满		153
九		153
降		153
谷		153
柱		153
勇士		153
约翰		153
任何		152
照样		152
城门		152
跟随		152
施行		152
得到		151
果子		151
常常		151
素		151
城墙		151
群		150
打		150
达		149
结		149
转		149
拣选		149
是以		148
其余		148
遵守		148
喜悦		148
帐幕		148
耶稣基督		148
分别		147
称		147
仍		147
时		147
驴		147
扪		147
玛利亚		147
福音		147
观看		146
仑		146
敌人		146
凡是		146
珊		146
发怒		146
麦		145
小		145
意思		145
祸		145
黑暗		144
寄居		144
以外		144
工作		143
另一		143
异		143
差派		143
追赶		142
数点		142
嫩		142
信心		142
并不		141
至		141
守		141
圣殿		141
教会		140
梦		140
显现		139
割礼		139
应		139
离弃		139
胜过		139
然而		139
欢喜		139
各样		138
河		138
正在		138
除		138
消灭		137
象		137
回去		137
过来		137
拔		137
寻求		137
正直		137
木		136
献祭		136
召		136
周围		136
荒凉		136
凡		135
前面		135
公斤		135
痛苦		134
别人		134
可憎		134
晚上		133
开		133
脸		133
作战		133
墙		133
五十		132
帐棚		132
世人		132
石		132
遍		132
家的		132
喜乐		132
早晨		131
亚伯		131
七十		131
安慰		131
离		131
葡萄		131
安营		131
灭		130
祝福		130
有福		130
理		130
剩下		130
传		130
器皿		130
暗		129
礼物		129
杀死		129
死人		129
押沙龙		129
圣经		128
之间		128
土		128
非		128
行事		128
弟兄们		128
圣洁		128
愚昧		128
明白		127
福		127
出于		127
扫		127
祖先		127
凭		127
那么		126
班		126
统治		126
大能		126
好使		126
赎		126
条		125
眼前		125
葡萄园		125
送		125
焚烧		125
群众		125
称为		124
难道		124
留下		124
病		124
埋葬		124
祈求		124
羊羔		124
银		124
神迹		124
赐福		123
士		123
忘记		123
狮子		123
管理		122
烧		122
军队		122
行为		122
供物		122
使徒		122
论		121
逃跑		121
鬼		121
不过		120
存		120
俄		120
旁边		120
路上		120
替		120
活着		119
大地		119
边		119
所得		119
正		119
跟从		119
仍然		118
睡		118
垂		118
快乐		118
发生		117
妇女		117
击打		117
讲		117
知识		117
以下		116
忿怒		116
赶		116
民族		116
近		116
间		116
大祭司		116
门口		115
难		115
万民		115
磐石		115
罪恶		114
十四		114
见证		114
真理		114
邪恶		113
以为		113
只要		113
正如		113
发出		113
犯罪		113
抬		113
吹		112
金子		112
喜爱		112
分给		112
前来		112
欢呼		112
以上		111
夺		111
赦免		111
自		111
月		111
白		111
东		111
野		110
已		110
污秽		110
除掉		110
聪明		110
由		109
完		109
杖		109
推		109
教训		109
决不		108
奴仆		108
十一		108
饥荒		108
拜		108
关于		108
欢乐		108
比喻		108
等		107
永		107
落		107
犊		107
田地		107
怒气		107
坟墓		107
赛		107
于		106
必要		106
逃		106
带来		106
怎么		106
过犯		106
报应		106
第三十		105
差遣		105
玷污		105
典章		105
世界		104
除了		104
必得		104
声		104
责备		104
身		104
约沙法		104
法利赛人		104
宽		103
指示		103
所生		103
吃饭		103
有些		103
诸		103
后		102
世上		102
城市		102
算		102
剪除		102
其中		102
诡诈		102
田		102
眼		102
患难		102
牲		102
兴起		101
六十		101
一些		101
一块		101
粮食		101
人中		101
如同		101
宝座		101
下去		100
琐		100
老		100
酵		100
卖		100
意		100
等候		100
按照		100
羔		100
神人		100
而且		99
其他		99
婢女		99
坚		99
极		99
困苦		99
拆毁		99
盼望		99
园		98
重		98
立约		98
长子		98
幔		98
大声		98
院子		98
变为		98
尼布甲尼撒		98
约伯		98
第五		97
当作		97
挪亚		97
干		97
十分		97
亲自		97
万国		97
原来		97
立刻		97
半		97
吞灭		97
救恩		96
得了		96
心中		96
仆		96
怕		96
躺		96
兵		96
铁		96
船		96
善		95
接受		95
承受		95
条例		95
过去		95
要说		95
丢		95
一般		95
留心		95
寻找		95
羞辱		95
舌头		95
起名		94
南		94
力		94
莱		94
财物		94
将来		94
那边		94
旁		94
毗		94
尸体		94
比亚		94
逾越节		94
欺压		94
之后		93
创造		93
掉		93
邻舍		93
参孙		93
十字架		93
翅膀		92
得罪		92
念		92
余		92
毁坏		92
末		92
遮盖		91
在世		91
朋友		91
王宫		91
战车		91
发现		90
次		90
筑		90
收割		90
将要		90
摆		90
床		90
亵渎		90
各种		89
父母		89
挪		89
差		89
争战		89
量		89
走兽		88
遇见		88
俯伏		88
找到		88
处死		88
藐视		88
甸		87
害怕		87
害		87
盾牌		87
美		87
对待		87
杯		87
数目		87
歌唱		87
寡妇		87
坚固		87
看守		86
遭		86
孙子		86
容		86
喜欢		86
收		86
敢		86
恨		86
不得		86
之下		86
劝		86
悔改		86
博士		86
开始		85
田间		85
呼叫		85
十三		85
牧人		85
房子		85
逃脱		85
和平		85
归向		85
旨意		85
大家		84
儿		84
跑		84
辖		84
却是		84
穿		84
遭遇		84
穿上		83
密		83
音		83
怀		83
存活		83
保护		83
一点		83
恳求		83
其实		83
砍		83
苦		83
右手		83
加利利		83
尼雅		83
接续		83
学家		83
包括		82
十五		82
全家		82
原		82
那天		82
伸手		82
柱子		82
之上		82
灯台		82
恩典		82
兽		82
重建		82
看看		81
鲁		81
公羊		81
麻布		81
尊荣		81
盆		81
穷人		81
贫穷		81
黑		81
入		80
山地		80
特利		80
允		80
变成		80
洁		80
信实		80
奇事		80
夫		80
四围		80
钉		80
禁食		80
称谢		80
甚至		79
草		79
阴间		79
