word,count,type,freq,ln(freq),hsk
端,96,token,,,
端午,1,unknown,,,
端午节,58,unknown,,,
节,1,unknown,,,
女,273,unknown,,,
听,14,token,,,
听故事说中文,2,unknown,,,
故事,3,unknown,,,
故事说中文,3,token,,,
事,42,token,,,
事说,4,token,,,
说,1,unknown,,,
说中,5,token,,,
说中文,4,token,,,
中,1,unknown,,,
文,9,token,,,
听得越多说,1,unknown,,,
得,35,token,,,
得越,3,token,,,
越,7,token,,,
越多,4,token,,,
多,60,token,,,
说得,2,token,,,
越好,1,unknown,,,
好,5,unknown,,,
大,53,token,,,
大家,25,token,,,
家,7,unknown,,,
今,14,token,,,
今天,4,token,,,
天,14,token,,,
给,7,token,,,
带,3,unknown,,,
来,42,token,,,
故事解读,2,unknown,,,
解,6,token,,,
解读,5,token,,,
读,6,token,,,
解读故事,2,unknown,,,
男,270,unknown,,,
期,10,token,,,
期的,2,token,,,
的节,6,token,,,
的节目,2,token,,,
节目,1,unknown,,,
我们,59,token,,,
我们的,6,token,,,
们,16,unknown,,,
们的,12,token,,,
助,2,token,,,
成,13,token,,,
在这里,2,token,,,
这,2,unknown,,,
这里,1,unknown,,,
里,2,unknown,,,
感,4,token,,,
感谢,2,token,,,
谢,6,token,,,
谢我们的,2,token,,,
没,6,unknown,,,
没有,11,token,,,
你们,8,token,,,
你们的支持,2,token,,,
的支持,3,token,,,
支持,4,unknown,,,
帮,3,token,,,
就,49,unknown,,,
就没,1,unknown,,,
就没有,2,token,,,
有这,2,token,,,
这一,6,token,,,
一,3,unknown,,,
的故事,5,token,,,
非,13,token,,,
非常,2,unknown,,,
非常好,2,token,,,
常,24,token,,,
们就,3,token,,,
安,18,token,,,
安康,2,token,,,
康,3,token,,,
希望,1,unknown,,,
有一,19,token,,,
有一个,13,token,,,
一个,2,unknown,,,
个,230,token,,,
个安,2,token,,,
的端午节,6,token,,,
嗯,74,unknown,,,
那,7,unknown,,,
说到,5,token,,,
到,1,unknown,,,
今年,6,unknown,,,
今年的端午节,3,token,,,
年,31,token,,,
年的,6,token,,,
做,5,unknown,,,
做了,9,token,,,
做了什么,5,token,,,
做了什么呢,2,token,,,
了什么,6,token,,,
什,1,unknown,,,
什么,13,unknown,,,
什么呢,2,unknown,,,
么,94,token,,,
呢,4,unknown,,,
哦,39,unknown,,,
吃,3,unknown,,,
吃粽子,3,unknown,,,
吃粽子了,3,token,,,
粽子,14,unknown,,,
子,1,unknown,,,
了吗,3,token,,,
吗,16,unknown,,,
吃了,2,token,,,
馅,1,unknown,,,
馅的,2,token,,,
吃的,8,token,,,
的是,3,token,,,
肉,2,unknown,,,
肉的,2,token,,,
啊,8,unknown,,,
咸,2,unknown,,,
咸的,2,token,,,
是吧,55,token,,,
吧,61,unknown,,,
你想,7,token,,,
想,2,unknown,,,
知,29,token,,,
知道,1,unknown,,,
道,1,unknown,,,
我在,6,token,,,
我在哪里吃的,2,token,,,
在哪,5,token,,,
在哪里吃的,3,token,,,
哪,1,unknown,,,
哪里,1,unknown,,,
里吃,4,token,,,
吃的吗,2,token,,,
的吗,5,token,,,
