word,count,type,freq,ln(freq),hsk
在家里,2,token,,,
在客厅,2,token,,,
么比赛,2,token,,,
两个,5,token,,,
个孩子,3,token,,,
个很,8,token,,,
大的,7,token,,,
的纸盒做,2,token,,,
做了两,2,token,,,
你知道,5,token,,,
个小孩,3,token,,,
子很,2,token,,,
很小,2,token,,,
有很多,15,token,,,
们把,3,token,,,
成了,2,token,,,
所以这,12,token,,,
所以这个,7,token,,,
盒子做,2,token,,,
做龙的,2,token,,,
龙的,3,token,,,
的身体,4,token,,,
别的,13,token,,,
了这,5,token,,,
了这个,4,token,,,
就是你,6,token,,,
是你,9,token,,,
的时候就是,2,token,,,
放到,3,token,,,
放到水里,2,token,,,
里的,4,token,,,
的那,3,token,,,
个东西,5,token,,,
你的,22,token,,,
那个叫,2,token,,,
个叫,16,token,,,
看到了,2,token,,,
对啊,2,token,,,
应该是,3,token,,,
应该是爸爸,2,token,,,
叫我,2,token,,,
所以两,2,token,,,
一个小,2,token,,,
敲鼓,14,token,,,
时候会,2,token,,,
会有,7,token,,,
人在,3,token,,,
我们有一个,2,token,,,
有一个孩子,2,token,,,
然后有,3,token,,,
然后有一个,2,token,,,
划龙舟,6,token,,,
也在,3,token,,,
就是他,4,token,,,
就是他们,2,token,,,
是他,7,token,,,
是他们,3,token,,,
玩的,2,token,,,
其实在,3,token,,,
其实在我,2,token,,,
我老家,2,token,,,
我们除了吃粽子以外,2,token,,,
那是,2,token,,,
有什么,3,token,,,
水的,2,token,,,
一种,3,token,,,
五彩绳,7,token,,,
努力的,2,token,,,
力的,3,token,,,
的在,4,token,,,
色的绳,2,token,,,
的手,2,token,,,
的在一起,2,token,,,
说这,7,token,,,
对你,3,token,,,
你很,3,token,,,
是辟邪的,2,token,,,
辟邪的,3,token,,,
不好,12,token,,,
不好的,10,token,,,
不好的运气,2,token,,,
好的,12,token,,,
离开你,2,token,,,
开你,3,token,,,
就是在中国很多,2,token,,,
很多的,14,token,,,
多的,16,token,,,
人会,3,token,,,
会告,2,token,,,
诉你,3,token,,,
这个好,2,token,,,
个好,3,token,,,
这个是,3,token,,,
那些不好的,3,token,,,
的东西,5,token,,,
不好的事情,2,token,,,
的事情,4,token,,,
它们不,2,token,,,
到你,2,token,,,
你这,2,token,,,
你会,3,token,,,
时候也,2,token,,,
也有,2,token,,,
个习,5,token,,,
个习俗,2,token,,,
是一根红,2,token,,,
红绳,2,token,,,
是老,2,token,,,
会做,2,token,,,
小的,4,token,,,
